Date,Open,High,Low,Close,Adj Close,Volume
20120912,122.22,122.41,121.68,122.01,93.07,7040900
20120911,124.02,124.1,123.29,123.55,94.24,3523300
20120910,123.69,124.33,123.51,124.33,94.83,4912100
20120907,126.14,126.18,123.92,124.03,94.61,7335300
20120906,125.53,125.53,124.55,124.61,95.05,6505100
20120905,126.82,127.19,126.55,126.72,96.66,3466700
20120904,126.92,127.63,126.76,127.32,97.12,6009300
20120831,125.78,127.72,125.73,127.72,97.21,9192600
20120830,126.27,126.44,125.73,125.94,95.86,3886400
20120829,125.61,125.63,124.95,125.29,95.36,3762700
20120828,125.75,126.36,125.59,125.84,95.78,3412600
20120827,125.34,125.8,125.27,125.54,95.55,3906100
20120824,125.47,125.56,124.67,124.81,95,5001400
20120823,124.74,125.14,124.65,124.93,95.09,7139100
20120822,123.52,124.51,123.21,124.41,94.69,11384400
20120821,121.47,122.45,120.66,122.39,93.16,9532700
20120820,121.55,122.19,121.5,121.85,92.75,4427100
20120817,121.4,122.12,121.32,121.6,92.56,6341100
20120816,122.21,122.5,120.52,121.01,92.11,13240000
20120815,123.02,123.2,121.9,122.05,92.9,11191000
20120814,123.96,124.41,123.75,123.79,94.22,7994000
20120813,126.11,126.38,125.49,125.49,95.52,3543700
20120810,126.2,126.32,125.6,125.7,95.68,4670500
20120809,124.77,125.3,123.75,125.07,95.2,7553500
20120808,126.16,126.39,125.04,125.16,95.26,7250700
20120807,125.96,126.13,125.43,125.83,95.77,6613600
20120806,127.67,128.14,127.37,127.47,97.02,3673600
20120803,127.84,128.03,126.77,127.42,96.98,9084800
20120802,129.59,130.69,129.13,129.51,98.58,7972000
20120801,128.53,129.74,128.15,128.78,98.02,7972000
20120731,129.81,129.88,128.58,129.7,98.51,7448600
20120730,128.39,129.48,128.25,129.44,98.32,6025300
20120727,129.89,130.01,126.96,128.48,97.59,14685100
20120726,131.53,131.78,130.9,130.95,99.46,6606200
20120725,131.63,132.21,131.48,132.16,100.38,5328000
20120724,130.35,132.04,130.28,131.82,100.12,6748800
20120723,131.31,131.44,130.51,130.79,99.34,6141100
20120720,129.6,130.3,129.42,130.06,98.79,6365900
20120719,128.46,129.1,128.11,128.49,97.59,5246300
20120718,129.26,129.34,128.79,128.82,97.84,4011000
20120717,129.26,129.82,128.64,128.75,97.79,5590900
20120716,130.3,130.61,129.61,129.77,98.57,5283500
20120713,129.23,129.24,128.6,129.17,98.11,4175300
20120712,129.05,129.56,128.9,129.51,98.37,6421000
20120711,128.59,129.47,128.26,128.6,97.68,5960900
20120710,127.86,128.74,127.72,128.44,97.56,4288000
20120709,127.38,128.26,127.11,128.18,97.36,5647000
20120706,126.67,127.21,126.61,127.06,96.51,5818300
20120705,125.35,126.32,125.25,125.89,95.62,5974700
20120703,125.95,126,125.21,125.25,95.13,5773100
20120702,125.45,127.21,125.37,126.22,95.87,7818500
20120629,125.03,125.63,124.63,125.2,94.89,8881900
20120628,127.3,127.48,126.79,126.85,96.14,5257800
20120627,126.56,126.79,126.03,126.54,95.91,5860700
20120626,126.11,126.95,125.94,126.34,95.75,5359700
20120625,126.36,127.02,126.27,126.84,96.13,6113800
20120622,125.9,126.22,125.01,125.02,94.75,7830400
20120621,125.95,127.25,125.89,126.71,96.03,9776600
20120620,124.57,126.51,124.09,126.04,95.53,13720300
20120619,126.28,126.37,125.33,125.42,95.06,8227900
20120618,127.15,127.34,126.26,127.08,96.32,6698400
20120615,126.58,126.85,126.14,126.4,95.8,6421400
20120614,125.95,126.28,125.19,125.7,95.27,7688200
20120613,124.85,126.28,124.38,125.86,95.39,11100000
20120612,124.97,125.63,124.5,124.63,94.46,10921700
20120611,124.79,126.21,124.77,125.78,95.33,10693800
20120608,126.75,126.95,124.57,125.21,94.9,11239600
20120607,124.65,125.74,124.39,125.24,94.92,18898200
20120606,127.56,127.6,125.05,125.05,94.78,20806700
20120605,128.53,128.64,127.59,127.6,96.71,12482800
20120604,129.31,130.18,128.94,129.33,98.02,11681200
20120601,128.87,130.38,128.53,130.36,98.8,23526000
20120531,127.03,129.08,126.67,127.6,96.51,31174500
20120530,125.32,126.32,125.3,126.14,95.41,17170800
20120529,123.39,123.81,123,123.02,93.05,5874100
20120525,123.43,123.54,123.14,123.4,93.33,4723600
20120524,123.23,123.79,122.75,122.94,92.99,10256200
20120523,123.55,124.52,123.36,123.41,93.34,11744900
20120522,122.75,122.88,122.06,122.56,92.7,12475500
20120521,123.9,124.45,123.62,123.94,93.74,9583500
20120518,123.27,124.44,123.11,124.2,93.94,10137700
20120517,122.03,124.28,122.02,124.17,93.92,14863400
20120516,120.98,122.18,120.72,122.01,92.28,6462300
20120515,121.09,121.73,120.82,121.66,92.02,6766400
20120514,120.87,121.3,120.6,121.17,91.65,8789400
20120511,119.49,119.6,118.96,119.5,90.38,5234300
20120510,118.02,118.62,117.44,118.52,89.64,6300000
20120509,119.45,119.57,118.44,118.87,89.91,5828900
